THREADS	TIME
1	8.15665
2	4.08246
3	2.71797
4	2.6298
5	2.62633
6	2.44444
7	2.33149
8	2.33541
9	2.28428
10	2.25788
11	2.22657
12	2.233
13	2.22288
14	2.18839
15	2.17757
16	2.18476
17	2.16207
18	2.15695
19	2.15169
20	2.15042
21	2.14255
22	2.17186
23	2.13098
24	2.13232
25	2.127
26	2.12742
27	2.12
28	2.11936
29	2.114
30	2.11476
31	2.11043
32	2.11149
33	2.10789
34	2.10729
35	2.1037
36	2.10226
37	2.10392
38	2.10051
39	2.10323
40	2.09802
41	2.09923
42	2.09663
43	2.09446
44	2.09611
45	2.0915
46	2.10245
47	2.09129
48	2.0956
49	2.08845
50	2.09001
51	2.08862
52	2.08917
53	2.08762
54	2.08588
55	2.08817
56	2.09082
57	2.0845
58	2.08519
59	2.08547
60	2.08407
61	2.0837
62	2.08195
63	2.0836
64	2.14182
65	2.08067
66	2.08186
67	2.0835
68	2.08516
69	2.08374
70	2.08568
71	2.07956
72	2.08262
73	2.08755
74	2.07971
75	2.08198
76	2.0926
77	2.08404
78	2.08185
79	2.08053
80	2.08148
81	2.08342
82	2.08326
83	2.07978
84	2.08269
85	2.07805
86	2.08108
87	2.07694
88	2.07958
89	2.08399
90	2.07784
91	2.07936
92	2.07754
93	2.08101
94	2.08484
95	2.07853
96	2.07937
97	2.0814
98	2.07545
99	2.08052
100	2.0763
