THREADS	TIME
1	0.0940922
2	0.0456225
3	0.0306491
4	0.0356475
5	0.028177
6	0.0302051
7	0.0268962
8	0.0292357
9	0.02915
10	0.0265645
11	0.0262235
12	0.0275269
13	0.0269882
14	0.0263218
15	0.0261802
16	0.0261958
17	0.0272179
18	0.0268479
19	0.0268849
20	0.0268899
21	0.028193
22	0.0264842
23	0.0280376
24	0.0270376
25	0.028522
26	0.028317
27	0.0276889
28	0.0294647
29	0.0271592
30	0.0288807
31	0.028013
32	0.0286177
33	0.0279396
34	0.0292134
35	0.0287377
36	0.0283233
37	0.0282206
38	0.0289587
39	0.0296094
40	0.0299604
41	0.0302324
42	0.0298664
43	0.0310332
44	0.0293474
45	0.0310898
46	0.0311628
47	0.029226
48	0.0299838
49	0.0303505
50	0.0304778
51	0.0307301
52	0.0321846
53	0.0313819
54	0.0312002
55	0.0315919
56	0.0325773
57	0.0330056
58	0.0340504
59	0.0311922
60	0.0324246
61	0.0315542
62	0.0341354
63	0.0351688
64	0.032827
65	0.033698
66	0.0338214
67	0.033153
68	0.0344454
69	0.0346871
70	0.033494
71	0.0334277
72	0.0337064
73	0.0344524
74	0.0344797
75	0.0352091
76	0.03375
77	0.0351985
78	0.0347238
79	0.0367782
80	0.0345958
81	0.0358165
82	0.0361179
83	0.0351071
84	0.038027
85	0.0360562
86	0.037471
87	0.0357938
88	0.0360589
89	0.0370933
90	0.0369432
91	0.0379143
92	0.0372269
93	0.038223
94	0.038262
95	0.0366972
96	0.0385177
97	0.0382593
98	0.0380457
99	0.0394501
100	0.0404498
