fTHREADS	TIME
1	1.51267
2	2.1079
3	2.1843
4	2.10412
5	2.1706
6	2.16612
7	2.16268
8	2.14233
9	2.16812
10	2.24109
11	2.27039
12	2.19302
13	2.23872
14	2.19134
15	2.24659
16	2.20284
17	2.17679
18	2.26012
19	2.1725
20	2.23913
21	2.19998
22	2.24116
23	2.26789
24	2.21041
25	2.30965
26	2.29463
27	2.19428
28	2.19014
29	2.19486
30	2.25654
31	2.28268
32	2.22431
33	2.22423
34	2.11052
35	2.3065
36	2.17367
37	2.19384
38	2.23998
39	2.2567
40	2.26382
41	2.23808
42	2.26993
43	2.29161
44	2.29727
45	2.30048
46	2.24258
47	2.22684
48	2.02871
49	2.27552
50	2.28254
51	2.26858
52	2.23564
53	2.02251
54	2.30334
55	2.32491
56	2.39155
57	2.41242
58	2.37327
59	2.34627
60	2.38943
61	2.39464
62	2.31427
63	2.3076
64	1.9415
65	1.7575
66	2.03056
67	2.13987
68	2.1549
69	2.35734
70	2.33113
71	2.35443
72	2.3756
73	2.36721
74	2.39586
75	2.23461
76	2.36467
77	2.37178
78	2.3425
79	2.3806
80	2.41437
81	2.42934
82	2.40834
83	2.31128
84	2.30809
85	2.33099
86	2.48126
87	2.4381
88	2.28734
89	2.26598
90	2.39837
91	2.28701
92	2.21694
93	2.3398
94	2.286
95	2.22847
96	2.41082
97	2.39615
98	2.42506
99	2.39501
