THREADS	TIME
1	40.732
2	60.3788
3	61.8328
4	58.9903
5	60.6264
6	59.8475
7	60.6371
8	61.2763
9	61.666
10	61.6442
11	61.459
12	61.4535
13	60.3964
14	60.6208
15	61.9287
16	60.7718
17	61.2688
18	61.4748
19	60.6106
20	60.9018
21	61.1694
22	61.1906
23	60.501
24	61.0901
25	61.1259
26	61.3299
27	60.7388
28	61.375
29	61.1614
30	60.832
31	61.024
32	61.1265
33	60.9719
34	60.8704
35	60.776
36	60.686
37	60.7383
38	60.8566
39	60.5588
40	60.8979
41	61.0531
42	61.8256
43	60.9845
44	61.4625
45	60.9418
46	61.2241
47	61.4697
48	61.4362
49	61.9143
50	61.9611
51	62.4143
52	62.2904
53	62.5087
54	62.9333
55	63.0675
56	63.1808
57	62.8884
58	63.4033
59	63.6436
60	64.2096
61	63.7724
62	64.2627
63	64.454
64	64.5745
65	64.6474
66	65.2043
67	65.1645
68	64.7816
69	64.9951
70	65.1252
71	65.5722
72	65.4509
73	65.0081
74	65.4305
75	65.667
76	65.8602
77	65.5913
78	66.3504
79	66.5056
80	66.545
81	66.7231
82	66.6687
83	66.6673
84	66.903
85	66.7767
86	67.2481
87	67.0956
88	67.3647
89	67.3578
90	67.3598
91	67.0301
92	67.6117
93	67.7213
94	67.4236
95	67.6987
96	68.1269
97	67.631
98	67.4883
99	67.8987
