FORKS	TIME
1	0.107028
2	0.0342616
3	0.0336482
4	0.044326
5	0.0351917
6	0.0357448
7	0.0332033
8	0.0343826
9	0.0338172
10	0.0360104
11	0.0337344
12	0.0351167
13	0.0361694
14	0.0332716
15	0.0364488
16	0.0308718
17	0.0276394
18	0.0305479
19	0.0358195
20	0.0323932
21	0.0268779
22	0.0304791
23	0.0276998
24	0.0319553
25	0.0290422
26	0.0276981
27	0.0269385
28	0.0266916
29	0.0262285
30	0.0261807
31	0.0283217
32	0.0299757
33	0.0320981
34	0.0276818
35	0.0270585
36	0.030722
37	0.0312454
38	0.0275698
39	0.0307425
40	0.0297557
41	0.0306641
42	0.0336793
43	0.037565
44	0.0345842
45	0.035027
46	0.0350241
47	0.0343974
48	0.0274399
49	0.0279604
50	0.0280242
51	0.0297955
52	0.030143
53	0.0359475
54	0.031525
55	0.0295848
56	0.0274337
57	0.0279072
58	0.0323347
59	0.030198
60	0.0367968
61	0.0349363
62	0.0332124
63	0.0324974
64	0.0364372
65	0.0306528
66	0.0347493
67	0.0296311
68	0.0315319
69	0.0330189
70	0.0315132
71	0.0300024
72	0.0280257
73	0.0314015
74	0.0310189
75	0.0268306
76	0.0280241
77	0.034487
78	0.0313017
79	0.0331576
80	0.0328244
81	0.0281988
82	0.0315174
83	0.0293692
84	0.0347812
85	0.0342815
86	0.0358516
87	0.0311593
88	0.0288078
89	0.0301064
90	0.0291648
91	0.028084
92	0.0274985
93	0.0278995
94	0.0325068
95	0.0332622
96	0.0337077
97	0.0331463
98	0.0305229
99	0.0333158
