FORKS	TIME
1	0.00566887
2	0.00514434
3	0.0038818
4	0.00378529
5	0.00372378
6	0.00366419
7	0.0036242
8	0.00346509
9	0.00337894
10	0.0035388
11	0.00347275
12	0.00341806
13	0.0033704
14	0.00330517
15	0.00333816
16	0.00341172
17	0.00333381
18	0.00339044
19	0.00345703
20	0.00332889
21	0.00335288
22	0.0033284
23	0.0034084
24	0.00331538
25	0.00329627
26	0.00327128
27	0.00336006
28	0.00338352
29	0.00329215
30	0.00329308
31	0.00340985
32	0.00335011
33	0.00330444
34	0.00332833
35	0.00334712
36	0.0034479
37	0.00337016
38	0.00333326
39	0.00322394
40	0.00326715
41	0.00321675
42	0.00320261
43	0.00329987
44	0.00314295
45	0.00324121
46	0.00319406
47	0.00318481
48	0.00315127
49	0.00307902
50	0.00313393
51	0.0030846
52	0.00320218
53	0.00323159
54	0.0030042
55	0.00304756
56	0.00311133
57	0.00317035
58	0.00306506
59	0.00312272
60	0.0030568
61	0.00295384
62	0.00298709
63	0.00296645
64	0.00301186
65	0.0030082
66	0.00300215
67	0.00300987
68	0.0028939
69	0.0030798
70	0.00300862
71	0.00295649
72	0.00298499
73	0.00293022
74	0.00297037
75	0.0029641
76	0.00300391
77	0.0030415
78	0.00305624
79	0.0030109
80	0.00295818
81	0.00309924
82	0.00303572
83	0.00298043
84	0.00305293
85	0.0030427
86	0.00306396
87	0.00295186
88	0.00303384
89	0.00305776
90	0.00314965
91	0.00300756
92	0.00306526
93	0.00303724
94	0.00305252
95	0.00301041
96	0.00299262
97	0.00708861
98	0.00300434
99	0.00301971
