THREADS	TIME
1	1.79704
2	0.874607
3	0.628958
4	0.691241
5	0.565149
6	0.754982
7	0.738002
8	0.66003
9	0.571144
10	0.618181
11	0.575738
12	0.582583
13	0.571378
14	0.582665
15	0.508766
16	0.602821
17	0.644835
18	0.56391
19	0.558135
20	0.524689
21	0.514475
22	0.525909
23	0.522593
24	0.539152
25	0.524674
26	0.519327
27	0.513906
28	0.546096
29	0.542083
30	0.531957
31	0.555875
32	0.496676
33	0.512229
34	0.533124
35	0.559031
36	0.555166
37	0.594905
38	0.598674
39	0.537069
40	0.493167
41	0.539344
42	0.500481
43	0.499669
44	0.496061
45	0.49147
46	0.483288
47	0.519033
48	0.485879
49	0.482507
50	0.476818
51	0.515432
52	0.566382
53	0.544791
54	0.527272
55	0.511653
56	0.462915
57	0.469775
58	0.459917
59	0.454404
60	0.469389
61	0.482338
62	0.451319
63	0.456593
64	0.474999
65	0.486492
66	0.468474
67	0.461115
68	0.495252
69	0.47987
70	0.513999
71	0.510479
72	0.514581
73	0.503945
74	0.497813
75	0.485053
76	0.495696
77	0.479102
78	0.527579
79	0.535412
80	0.496187
81	0.496737
82	0.478332
83	0.517804
84	0.512487
85	0.520701
86	0.498198
87	0.49752
88	0.50957
89	0.508505
90	0.492185
91	0.547476
92	0.50269
93	0.512238
94	0.496069
95	0.492513
96	0.483087
97	0.470797
98	0.532294
99	0.504169
100	0.527221
