THREADS	TIME
1	737.541
2	368.668
3	245.997
4	233.828
5	223.515
6	221.125
7	223.049
8	222.475
9	223.606
10	221.85
11	221.425
12	220.589
13	219.35
14	218.583
15	217.719
16	217.823
17	217.299
18	217.321
19	216.04
20	215.981
21	215.125
22	215.608
23	214.984
24	214.548
25	214.715
26	214.719
27	215.298
28	214.951
29	214.768
30	213.953
31	218.112
32	219.362
33	226.243
34	227.214
35	227.359
36	215.711
37	223.361
38	228.549
39	240.902
40	243.094
41	241.266
42	213.339
43	212.703
44	212.269
45	212.067
46	212.182
47	212.134
48	211.624
49	211.737
50	211.347
51	211.358
52	211.363
53	211.671
54	211.543
55	211.656
56	211.042
57	211.188
58	211.04
59	210.983
60	210.831
61	210.632
62	210.53
63	211.167
