THREADS	TIME
1	2.08076
2	1.10143
3	0.759645
4	0.811067
5	0.733552
6	0.633308
7	0.547814
8	0.530979
9	0.488307
10	0.469997
11	0.486745
12	0.472793
13	0.471068
14	0.472273
15	0.458676
16	0.45762
17	0.45382
18	0.450653
19	0.457373
20	0.449883
21	0.458981
22	0.461076
23	0.496235
24	0.455716
25	0.461749
26	0.464202
27	0.466347
28	0.474394
29	0.475132
30	0.461989
31	0.451209
32	0.463433
33	0.462956
34	0.458346
35	0.480964
36	0.444128
37	0.455179
38	0.456064
39	0.453673
40	0.453037
41	0.455468
42	0.445683
43	0.444538
44	0.448318
45	0.442861
46	0.442118
47	0.448162
48	0.455792
49	0.45182
50	0.459117
51	0.456382
52	0.45252
53	0.449325
54	0.464441
55	0.459687
56	0.457051
57	0.441317
58	0.443541
59	0.441798
60	0.441943
61	0.456508
62	0.449955
63	0.456772
64	0.453138
65	0.449091
66	0.451408
67	0.476958
68	0.468909
69	0.477075
70	0.464527
71	0.454229
72	0.475278
73	0.44986
74	0.493024
75	0.457848
76	0.455198
77	0.484714
78	0.451263
79	0.515582
80	0.470764
81	0.450659
82	0.477415
83	0.462074
84	0.47262
85	0.451506
86	0.454014
87	0.485448
88	0.477778
89	0.450839
90	0.485353
91	0.487926
92	0.451767
93	0.463249
94	0.460851
95	0.483317
96	0.450546
97	0.456098
98	0.460376
99	0.449364
100	0.463794
