THREADS	TIME
1	0.00160063
2	0.00119552
3	0.0037401
4	0.00109208
5	0.000909219
6	0.00237724
7	0.00333521
8	0.00126031
9	0.00574932
10	0.00205599
11	0.00294417
12	0.00498406
13	0.00592151
14	0.00534516
15	0.00318891
16	0.00359786
17	0.0101799
18	0.0135237
19	0.00485286
20	0.0177242
21	0.0156729
22	0.0155394
23	0.0137967
24	0.00572042
25	0.00582177
26	0.00413771
27	0.00589297
28	0.00387016
29	0.00964385
30	0.00530172
31	0.00514531
32	0.0121725
33	0.00553766
34	0.00574193
35	0.00582375
36	0.00637208
37	0.00568922
38	0.00564188
39	0.00651047
40	0.0062963
41	0.00671359
42	0.00650281
43	0.0065974
44	0.0077999
45	0.00632927
46	0.00746339
47	0.00978099
48	0.0201899
49	0.00945771
50	0.0429695
51	0.0109825
52	0.00876682
53	0.00987609
54	0.00728406
55	0.00764078
56	0.00818599
57	0.0107482
58	0.0358249
59	0.015756
60	0.0191237
61	0.0130168
62	0.0465011
63	0.0114008
64	0.0171206
65	0.0229193
66	0.0252365
67	0.0224916
68	0.0365711
69	0.0257769
70	0.0230514
71	0.0182813
72	0.0151704
73	0.0150714
74	0.0436134
75	0.0298611
76	0.0235396
77	0.0213305
78	0.0170415
79	0.0227084
80	0.021376
81	0.0551082
82	0.0355071
83	0.0607545
84	0.0361744
85	0.027791
86	0.0201502
87	0.0395274
88	0.0226933
89	0.0245916
90	0.024116
91	0.0147202
92	0.0348528
93	0.0167568
94	0.0385163
95	0.0200393
96	0.0201183
97	0.0466521
98	0.0274198
99	0.0242345
100	0.013459
